nome_arquivo,texto_extraido,quantidade_palavras,qr_detectado,color1_h,color1_s,color1_v,color2_h,color2_s,color2_v,color3_h,color3_s,color3_v,categoria,subpasta,transito,carteira,driver,habilitacao,nome,validade,identidade,cat,hab,cpf,assinatura,portador,transportes,assinado,digital,estadual,infraestrutura,emissor,proibido,plastificar
aug_imagem_1.jpg,"11st
rik ETARE

CARTEIRA NACIONAL DE HAR VER LICENSE / PERMISO DE CONDUCCION

2e1 NOME E SOBRENOME 1"" HABILITACAO
DR. LUIZ MIGUEL BARROS 12/02/2004
3 DATA, LOCAL E\UF DE NASCIMENTO
26/03/1961, RAMOS VERDE, PA

4a DATA EMISSAO 4b VALIDADE ACC
18/10/2025 13/04/2035 ( rss D
4c DOC. IDENTIDADE / ORG. EMISSOR / UF
PA10270234 SSP PA

4d CPF § N° REGISTRO 9 CAT. HAB
+ 108,465.792-94 25858268286 A |
NACIONALIDADE
BRASILEIRO(A)

FILACAO

JOSE ARAUJO

SRA. MARIA EDUARDA CARDOSO

T RSSINATURA DO PORTADOR

42 OBSERVAGOES

DIRETOR DETRAN ~

——
ASSINATURA DO EMISSOR",91,0,27,49,120,22,28,171,0,24,21,cnh_fisica,CNH_aberta,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0
aug_imagem_10.jpg,"\Ni

CARTEIRA NACIONAL DE HARILITACAO / DRIVER LICENSE / PERMISO DE CONDUC CIO

t
2e1 NOME E SOBRENOME 1"" HABILITACAO
MARINA SANTOS 12/10/1998

c3 DATA, LOCAL E UF DE NASCIMENTO
22/04/1973, SIQUEIRA DE MENDONGA, MA

4a DATA EMISSAO 4b VALIDADE ACC
02/10/2023 22/12/2028 D
p— 4c DOC. IDENTIDADE / ORG. EMISSOR / UF
MA26395647 SSP MA

4d CPF 5 N° REGISTRO 9 CAT. HAB
182.397.406-69 H cosroaresat CE

— NACIONALIDADE
BRASILEIRO(A)

FILIAGAO
| cao EDUARDO JESUS

OLIVIA FONSECA

‘T ASSINATURA DO PORTADOR

12 OBSERVACOES

DIRETOR DETRAN ~-
—

ASSINATURA DO EMISSOR

LOCAL
CAVALCANTE, RR

RORAIMA",95,0,0,27,19,22,29,170,29,48,116,cnh_fisica,CNH_aberta,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0
aug_imagem_100.jpg,,0,0,26,32,137,0,7,37,23,23,192,cnh_fisica,CNH_aberta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aug_imagem_101.jpg,"CARTEIRA NACIONAL DE HABILTACAO DRIVER LICENSE / PERMISO DE CONDUCCION

2e1 NOME E SOBRENOME 1"" HABILITACAO
OSE MIGUEL FERNANDES 24/02/2007
3 DATA, LOCAL E UF DE NASCIMENTO
26/10/1962, COSTA DAS PEDRAS, GO
4a DATA EMISSAO 4b VALIDADE ACC
(seams | [avera00 D
4c DOC. IDENTIDADE / ORG. EMISSOR / UF
GO77482295 SSP GO

€
4d CPF 5 N° REGISTRO
- 589,623.174-19 10709260782
NACIONALIDADE
BRASILEIRO(A)

FILIAGAO

aoe CAT. HAB

ASAFE FERREIRA

OLIVIA CAMPOS

TRSSINATURA DO PORTADOR

42 OBSERVAGOES

DIRETOR DETRAN-
ASSINATURA DO EMISSOR

LOCAL
CARVALHO, MG",85,0,29,44,127,21,28,174,0,22,23,cnh_fisica,CNH_aberta,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0
aug_imagem_102.jpg,"2e1 NOME E SOBRENOME 1* HABILITACAO
ADE ALBUQUERQUE 10/02/1996

‘Cy

TASSINATURA'DO PORTADOR

12 OBSERVACOES

3 DATA, LOCAL E UF DE NASCIMENTO
04/05/1980, ALVES, SE
(77 4a DATA EMISAO 4b VALIDADE ACC
06/08/2022 10/08/2029 D

r— 4c DOC. IDENTIDADE / ORG. EMISSOR / UF:
SE29167381 SSP SE

fee CPF 5 N* REGISTRO 9 CAT. HAB.
739.265.041-61 97258519745 Cl

BRASILEIRO(A)
FILIAGAO
ee

RAEL FONSECA

SRA. LUIZA COSTA

DIRETOR DETRAN-

ASSINATURA DO EMISSOR",70,0,29,41,130,0,24,21,21,28,176,cnh_fisica,CNH_aberta,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0
aug_imagem_103.jpg,"2e1 NOME E SOBRENOME

YAGO MARQUES

TASSINATURA DO PORTADOR

LOCAL

ARAUJO DE CORREIA, RN

Pree
pa

RIVER LICENSE / PERMISO DE CONDUCCION

4"" HABILITAGAO
29/11/1997
3 DATA, LOCAL E- UF DE NASCIMENTO

17/05/1962, VASCONCELOS DO GALHO, AM.

4a DATA EMISSAO 4b VALIDADE ACC
21/08/2025 04/05/2032 ( rom D
4c DOC. IDENTIDADE / ORG. EMISSOR/ UF:
AM40527044 SSP AM

4d'CPF § N° REGISTRO 9 CAT. HAB:
491.385.027-04 | 47646321821 BE |

BRASILEIRO(A)
FILIAGAO

YAGO MOREIRA

HELOISA SALES

DIRETOR DETRAN =

ASSINATURA DO EMISSOR

5°"".
RIOGRANDEDONORTE Beni"" Ue net 8)",88,0,15,57,9,20,34,150,29,50,108,cnh_fisica,CNH_aberta,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0
aug_imagem_104.jpg,"JERAT

ttl
DAUINE
(0 DE CONDUCCION

2e1 NOME E SOBRENOME 4"" HABILITAGAO
SRTA. MARIA CLARA NUNES 08/10/2006
3 DATA, LOCAL E UF DE NASCIMENTO.
15/08/2006, VARGAS, PE
| as 4a DATA EMISSAO 4b VALIDADE ACC
25/05/2023 07/12/2027 D
4c DOC. IDENTIDADE / ORG. EMISSOR / UF:
PE43761546 SSP PE
9 CAT. HAB.

fe CPF 5 N° REGISTRO
619.740.358-75 85723884824 CIE
NACIONALIDADE =
BRASILEIRO(A)

FILAGAO

BRYAN BARROS

MARIA LUISA PORTO

TASSINATURA'DO PORTADOR

12 OBSERVAGOES

DIRETOR DETRAN-

ASSINATURA DO EMISSOR

LOCAL
MACHADO DA SERRA, RS

RIO GRANDE DO SUL ; mes eR

Mallon ft @\",93,0,28,49,99,30,51,5,22,34,137,cnh_fisica,CNH_aberta,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0
aug_imagem_105.jpg,"2e1 NOMEE SOBRENOME
ANA LIZ MENDONCA

TASSINATURA'DO: PORTADOR

1* HABILITACAO
Lowsisss  )
3 DATA, LOCAL E UF DE NASCIMENTO
19/10/2006, PEIXOTO DE GOIAS, BA

4a DATA EMISSAO 4b VALIDADE ACC
23/12/2023 12/09/2031 (rman D

4c DOC. IDENTIDADE / ORG EMISSOR / UF
BA64051708 SSP BA

4d CPF 5 N° REGISTRO 9 CAT. HAB,
296.130.847-03 98736623849 , |
NACIONALIDADE

BRASILEIRO(A)
FILIACAO

NICOLAS CIRINO

MANUELLA MOREIRA

DIRETOR DETRAN~

ASSINATURA DO EMISSOR",69,0,23,27,188,0,25,31,28,45,136,cnh_fisica,CNH_aberta,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0
aug_imagem_106.jpg,"21 NOME E SOBRENOME 4"" HABILITAGAO
MARIA SOPHIA BARBOSA 02/01/2003
3 DATA, LOCAL E UF DE NASCIMENTO
19/01/2004, SOUSA, TO
as 4a DATA EMISSAO 4b VALIDADE ACC
11/05/2023 20/02/2032 D
4c DOC. IDENTIDADE / ORG. EMISSOR / UF

TO25791019 SSP TO
4d CPF

rc § N° REGISTRO 9 CAT. HAB.
538,067.241-80 21088269693 B
— NACIONALIDADE -
BRASILEIRO(A)
FILAGAO

LEO RODRIGUES

HADASSA NASCIMENTO

TASSINATURA DO PORTADOR

12 OBSERVACOES

DIRETOR DETRAN-

ASSINATURA DO EMISSOR

LOCAL
ARAGAO, AL",75,0,27,46,110,0,32,8,21,32,152,cnh_fisica,CNH_aberta,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0
aug_imagem_107.jpg,"PER MISO N

Df CONDUCCH

1"" HABIL ITACAO
| 23/01/2007
3 DATA LOCAL & UF DE NASCIMENTO
30/05/1994, COsTa,

RJ

4a DATA EMISSAo na VALIDADE cy
95/02/2023 11/09/2029

4c DOC IDENTIDADE ORG EMISSOR7 Up
RJ15751162 SSP Rj

4d CPF 9 CAT. HAB
935.192.874.04
NACIONALIDADE

CE

VALENTIM NUNES

STEPHANY PORTO

Se ee

DIRETOR DETRAN.

ASSINATURA dO EMISSOR",56,0,29,56,95,23,30,144,165,51,10,cnh_fisica,CNH_aberta,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0
